CompID,CompName,PostalCode,username
1,Adams and Sons,J0X 3H0,loffiler0
2,Pacocha-Ferry,J0T 2N0,lebertz1
3,Kiehn Inc,G0J 0A7,wcasazza2
4,"Skiles, Franecki and Boyer",V0B 1A1,vfletcher3
5,Ernser-Fadel,B0C 1G0,ameffin4
6,Swift and Sons,X0A 0L0,abaigent5
7,"Bosco, Mohr and Wehner",G0G 0G0,baberhart6
8,VonRueden Group,G0R 3R0,dradeliffe7
9,"Cartwright, Dach and Strosin",K0A 1P0,shelian8
10,"Schaden, Hermiston and Harris",T0A 0C4,ishearstone9
11,Nienow and Sons,X0E 0A2,sgooderea
12,Donnelly LLC,J0E 2M0,hsclaterb
13,Marks and Sons,X0E 0J0,cmayowc
14,Blanda-Nitzsche,G3N 0P4,rlandord
15,D'Amore Inc,J0C 0A6,kbroadye
16,"Bashirian, Schneider and Bode",J0G 1X0,edudhillf
17,Keeling and Sons,A0A 0C5,hgoningg
18,Koelpin-Dietrich,A0A 0A7,ssilwoodh
19,Hartmann-Rowe,G6G 0B1,abonnori
20,Yost-Turcotte,J0M 0A1,sbunnj
